# latitude: 0.0, longitude: -167.302, year: 2023, month: 5, day: 15, cruise: 13239, uid: 22288039
z,z_level_qc,z_unc,t,t_level_qc,t_unc,s,s_level_qc,s_unc,oxygen,phosphate,silicate,pH,p
3995.0,0,,1.42,0,,34.69,0,,,,,,
4004.0,0,,1.42,0,,34.69,0,,,,,,
4014.0,0,,1.42,0,,34.7,0,,,,,,
4024.0,0,,1.42,0,,34.7,0,,,,,,
4034.0,0,,1.42,0,,34.7,0,,,,,,
4043.0,0,,1.41,0,,34.7,0,,,,,,
4053.0,0,,1.41,0,,34.7,0,,,,,,
4063.0,0,,1.41,0,,34.7,0,,,,,,
4073.0,0,,1.39,0,,34.7,0,,,,,,
4082.0,0,,1.39,0,,34.7,0,,,,,,
4092.0,0,,1.39,0,,34.7,0,,,,,,
4102.0,0,,1.38,0,,34.7,0,,,,,,
4112.0,0,,1.37,0,,34.7,0,,,,,,
4121.0,0,,1.37,0,,34.7,0,,,,,,
4131.0,0,,1.37,0,,34.7,0,,,,,,
4141.0,0,,1.37,0,,34.7,0,,,,,,
4151.0,0,,1.37,0,,34.7,0,,,,,,
4160.0,0,,1.36,0,,34.7,0,,,,,,
4170.0,0,,1.36,0,,34.7,0,,,,,,
4180.0,0,,1.36,0,,34.7,0,,,,,,
4190.0,0,,1.36,0,,34.7,0,,,,,,
4199.0,0,,1.36,0,,34.7,0,,,,,,
4209.0,0,,1.35,0,,34.7,0,,,,,,
4219.0,0,,1.35,0,,34.7,0,,,,,,
4229.0,0,,1.34,0,,34.7,0,,,,,,
4238.0,0,,1.34,0,,34.7,0,,,,,,
4248.0,0,,1.34,0,,34.7,0,,,,,,
4258.0,0,,1.35,0,,34.7,0,,,,,,
4268.0,0,,1.35,0,,34.7,0,,,,,,
4277.0,0,,1.35,0,,34.7,0,,,,,,
4287.0,0,,1.34,0,,34.7,0,,,,,,
4297.0,0,,1.34,0,,34.7,0,,,,,,
4307.0,0,,1.34,0,,34.7,0,,,,,,
4316.0,0,,1.34,0,,34.7,0,,,,,,
4326.0,0,,1.34,0,,34.7,0,,,,,,
4336.0,0,,1.34,0,,34.7,0,,,,,,
4346.0,0,,1.34,0,,34.7,0,,,,,,
4355.0,0,,1.33,0,,34.7,0,,,,,,
4365.0,0,,1.33,0,,34.7,0,,,,,,
4375.0,0,,1.33,0,,34.7,0,,,,,,
4385.0,0,,1.33,0,,34.7,0,,,,,,
4394.0,0,,1.33,0,,34.7,0,,,,,,
4404.0,0,,1.33,0,,34.7,0,,,,,,
4414.0,0,,1.33,0,,34.7,0,,,,,,
4424.0,0,,1.33,0,,34.7,0,,,,,,
4433.0,0,,1.32,0,,34.7,0,,,,,,
4443.0,0,,1.32,0,,34.7,0,,,,,,
4453.0,0,,1.32,0,,34.7,0,,,,,,
4463.0,0,,1.31,0,,34.7,0,,,,,,
4472.0,0,,1.31,0,,34.7,0,,,,,,
4482.0,0,,1.31,0,,34.7,0,,,,,,
4492.0,0,,1.3,0,,34.7,0,,,,,,
4502.0,0,,1.28,0,,34.7,0,,,,,,
4511.0,0,,1.27,0,,34.7,0,,,,,,
4521.0,0,,1.27,0,,34.7,0,,,,,,
4531.0,0,,1.27,0,,34.7,0,,,,,,
4540.0,0,,1.27,0,,34.71,0,,,,,,
